helper_id,chunk_id,event,decoded_count,timestamp
2,26,RECOVERED,1,1780138822.433613
2,26,SENT,1,1780138823.9296362
2,4,RECOVERED,2,1780138837.8408108
2,8,RECOVERED,3,1780138837.8411887
2,7,RECOVERED,4,1780138837.8416212
2,4,SENT,4,1780138839.2912552
2,8,SENT,4,1780138841.1896107
2,7,SENT,4,1780138842.6776268
2,23,RECOVERED,5,1780138846.4735627
2,20,RECOVERED,6,1780138846.4739091
2,23,SENT,6,1780138848.1775877
2,20,SENT,6,1780138849.9536078
2,14,RECOVERED,7,1780138861.8472817
2,14,SENT,7,1780138863.3616164
2,30,RECOVERED,8,1780138863.362285
2,30,SENT,8,1780138864.7576199
2,24,RECOVERED,9,1780138883.5745406
2,2,RECOVERED,10,1780138883.574817
2,5,RECOVERED,11,1780138883.5757008
2,24,SENT,11,1780138885.4296021
2,2,SENT,11,1780138886.8936183
2,5,SENT,11,1780138888.7056088
2,18,RECOVERED,1,1780305227.7293274
2,18,SENT,1,1780305229.6042867
2,33,RECOVERED,2,1780305240.9323704
2,30,RECOVERED,3,1780305240.9327881
2,33,SENT,3,1780305242.5562599
2,30,SENT,3,1780305244.1802623
2,37,RECOVERED,4,1780305252.7045672
2,37,SENT,4,1780305254.1882606
2,11,RECOVERED,5,1780305265.9591036
2,11,SENT,5,1780305267.836263
2,25,RECOVERED,6,1780305273.5395641
2,4,RECOVERED,7,1780305273.5399976
2,25,SENT,7,1780305275.4042614
2,4,SENT,7,1780305276.9322631
2,13,RECOVERED,8,1780305287.8680801
2,0,RECOVERED,9,1780305287.868734
2,26,RECOVERED,10,1780305287.869545
2,10,RECOVERED,11,1780305287.8699942
2,13,SENT,11,1780305289.2442577
2,0,SENT,11,1780305290.656269
2,26,SENT,11,1780305292.1882563
2,10,SENT,11,1780305294.1322632
2,27,RECOVERED,12,1780305297.5902715
2,23,RECOVERED,13,1780305297.5907788
2,27,SENT,13,1780305298.9842694
2,23,SENT,13,1780305300.7362635
2,6,RECOVERED,14,1780305300.737337
2,6,SENT,14,1780305302.2242568
2,7,RECOVERED,15,1780305315.0524669
2,7,SENT,15,1780305316.58027
2,34,RECOVERED,16,1780305321.620231
